,,,abs(corr)
mu.081,ks,distance,0.9162454710289668
mu.081,ks,pval,0.5625381003706619
mu.082,ks,critical_diff,0.06328455898018913
mu.082,ks,critical_value,0.0
mu.082,ks,distance,0.0632845589801891
mu.082,ks,pval,0.026773557119897633
mu.083,ks,critical_diff,0.744408255490917
mu.083,ks,critical_value,0.0
mu.083,ks,distance,0.744408255490917
mu.083,ks,pval,0.6031195745999648
mu.084,ks,critical_diff,0.38427088058265296
mu.084,ks,critical_value,0.0
mu.084,ks,distance,0.384270880582653
mu.084,ks,pval,0.19795518874883739
mu.085,ks,critical_diff,0.18062443123594837
mu.085,ks,critical_value,0.0
mu.085,ks,distance,0.18062443123594832
mu.085,ks,pval,0.18818620126571206
mu.086,ks,critical_diff,0.19943829109885397
mu.086,ks,critical_value,0.0
mu.086,ks,distance,0.19943829109885408
mu.086,ks,pval,0.1458471875666092
mu.087,ks,critical_diff,0.7187702112384444
mu.087,ks,critical_value,0.0
mu.087,ks,distance,0.7187702112384443
mu.087,ks,pval,0.5696309195257905
mu.088,ks,critical_diff,0.40561741201268725
mu.088,ks,critical_value,0.0
mu.088,ks,distance,0.4056174120126873
mu.088,ks,pval,0.5085986412451928
mu.089,ks,critical_diff,0.25228909270465716
mu.089,ks,critical_value,0.0
mu.089,ks,distance,0.2522890927046571
mu.089,ks,pval,0.16065050378525245
mu.090,ks,critical_diff,0.06598277447154974
mu.090,ks,critical_value,0.0
mu.090,ks,distance,0.0659827744715498
mu.090,ks,pval,0.021802314639531126
mu.091,ks,critical_diff,0.569922869097458
mu.091,ks,critical_value,0.0
mu.091,ks,distance,0.569922869097458
mu.091,ks,pval,0.6272274149576337
mu.092,ks,critical_diff,0.718850735343956
mu.092,ks,critical_value,0.0
mu.092,ks,distance,0.7188507353439562
mu.092,ks,pval,0.5647075375238513
mu.093,ks,critical_diff,0.11530939500521228
mu.093,ks,critical_value,0.0
mu.093,ks,distance,0.11530939500521233
mu.093,ks,pval,0.2175878629482697
mu.094,ks,critical_diff,0.289850687492039
mu.094,ks,critical_value,0.0
mu.094,ks,distance,0.28985068749203907
mu.094,ks,pval,0.20467990843744197
mu.095,ks,critical_diff,0.5889933119207155
mu.095,ks,critical_value,0.0
mu.095,ks,distance,0.5889933119207155
mu.095,ks,pval,0.5610121697489105
mu.096,ks,critical_diff,0.62726707059271
mu.096,ks,critical_value,0.0
mu.096,ks,distance,0.6272670705927101
mu.096,ks,pval,0.4449914073640272
mu.097,ks,critical_diff,0.061689371143120654
mu.097,ks,critical_value,0.0
mu.097,ks,distance,0.061689371143120626
mu.097,ks,pval,0.053872438148912974
mu.098,ks,critical_diff,0.45375473439796404
mu.098,ks,critical_value,0.0
mu.098,ks,distance,0.4537547343979641
mu.098,ks,pval,0.24968852309716708
mu.099,ks,critical_diff,0.7023479177675453
mu.099,ks,critical_value,0.0
mu.099,ks,distance,0.7023479177675453
mu.099,ks,pval,0.5746878861018138
mu.100,ks,critical_diff,0.2771260635725462
mu.100,ks,critical_value,0.0
mu.100,ks,distance,0.2771260635725461
mu.100,ks,pval,0.5336324459925919
mu.101,ks,critical_diff,0.8422124701084895
mu.101,ks,critical_value,0.0
mu.101,ks,distance,0.8422124701084895
mu.101,ks,pval,0.47911125535592847
mu.102,ks,critical_diff,0.35691422250548915
mu.102,ks,critical_value,0.0
mu.102,ks,distance,0.356914222505489
mu.102,ks,pval,0.1229625348984133
mu.103,ks,critical_diff,0.17996236382118494
mu.103,ks,critical_value,0.0
mu.103,ks,distance,0.17996236382118497
mu.103,ks,pval,0.17011508535180966
mu.104,ks,critical_diff,0.542927547618433
mu.104,ks,critical_value,0.0
mu.104,ks,distance,0.542927547618433
mu.104,ks,pval,0.41166623845622397
mu.105,ks,critical_diff,0.24809213482243966
mu.105,ks,critical_value,0.0
mu.105,ks,distance,0.24809213482243964
mu.105,ks,pval,0.3426165534247727
mu.106,ks,critical_diff,0.7025136374949741
mu.106,ks,critical_value,0.0
mu.106,ks,distance,0.7025136374949741
mu.106,ks,pval,0.5800892525225427
mu.107,ks,critical_diff,0.2662451452223475
mu.107,ks,critical_value,0.0
mu.107,ks,distance,0.26624514522234755
mu.107,ks,pval,0.4564830064345578
mu.108,ks,critical_diff,0.8053009914179654
mu.108,ks,critical_value,0.0
mu.108,ks,distance,0.8053009914179655
mu.108,ks,pval,0.5457587790349667
mu.109,ks,critical_diff,0.032188422541302726
mu.109,ks,critical_value,0.0
mu.109,ks,distance,0.03218842254130276
mu.109,ks,pval,0.29184146252462356
mu.110,ks,critical_diff,0.7754748673448014
mu.110,ks,critical_value,0.0
mu.110,ks,distance,0.7754748673448014
mu.110,ks,pval,0.39606862493634937
mu.111,ks,critical_diff,0.0509225372641307
mu.111,ks,critical_value,0.0
mu.111,ks,distance,0.050922537264130645
mu.111,ks,pval,0.3518283739843425
mu.112,ks,critical_diff,0.20352722444948496
mu.112,ks,critical_value,0.0
mu.112,ks,distance,0.20352722444948496
mu.112,ks,pval,0.08762419365680367
mu.113,ks,critical_diff,0.07156472741619464
mu.113,ks,critical_value,0.0
mu.113,ks,distance,0.07156472741619466
mu.113,ks,pval,0.06795924297727549
mu.114,ks,critical_diff,0.30645978676206964
mu.114,ks,critical_value,0.0
mu.114,ks,distance,0.3064597867620697
mu.114,ks,pval,0.25162632806210994
mu.115,ks,critical_diff,0.09999403819878903
mu.115,ks,critical_value,0.0
mu.115,ks,distance,0.09999403819878905
mu.115,ks,pval,0.3861756054953817
mu.116,ks,critical_diff,0.7794719260519195
mu.116,ks,critical_value,0.0
mu.116,ks,distance,0.7794719260519198
mu.116,ks,pval,0.5709170540114061
mu.117,ks,critical_diff,0.2025143539659546
mu.117,ks,critical_value,0.0
mu.117,ks,distance,0.20251435396595463
mu.117,ks,pval,0.1984978852543073
mu.118,ks,critical_diff,0.3255377946253699
mu.118,ks,critical_value,0.0
mu.118,ks,distance,0.3255377946253699
mu.118,ks,pval,0.41095426789936174
mu.119,ks,critical_diff,0.5324851135835896
mu.119,ks,critical_value,0.0
mu.119,ks,distance,0.5324851135835897
mu.119,ks,pval,0.38241282345034383
mu.120,ks,critical_diff,0.015215737296817532
mu.120,ks,critical_value,0.0
mu.120,ks,distance,0.015215737296817567
mu.120,ks,pval,0.4053118900063109
mu.121,ks,critical_diff,0.2846257449017055
mu.121,ks,critical_value,0.0
mu.121,ks,distance,0.28462574490170556
mu.121,ks,pval,0.12877393576087895
mu.122,ks,critical_diff,0.35425805109575653
mu.122,ks,critical_value,0.0
mu.122,ks,distance,0.3542580510957564
mu.122,ks,pval,0.08976126513956056
mu.123,ks,critical_diff,0.6574151544434785
mu.123,ks,critical_value,0.0
mu.123,ks,distance,0.6574151544434784
mu.123,ks,pval,0.5800881137812659
mu.124,ks,critical_diff,0.17829492548216064
mu.124,ks,critical_value,0.0
mu.124,ks,distance,0.1782949254821607
mu.124,ks,pval,0.3835903050640944
mu.125,ks,critical_diff,0.03935811915283623
mu.125,ks,critical_value,0.0
mu.125,ks,distance,0.03935811915283615
mu.125,ks,pval,0.17329013097440468
mu.126,ks,critical_diff,0.417518380421714
mu.126,ks,critical_value,0.0
mu.126,ks,distance,0.417518380421714
mu.126,ks,pval,0.49620354715483395
mu.127,ks,critical_diff,0.5931853756814031
mu.127,ks,critical_value,0.0
mu.127,ks,distance,0.5931853756814032
mu.127,ks,pval,0.335768343221463
